Participant,Gender,Age,Degree,Language,Volume,Stimulus,Actor_Number,Actor_Gender,Emotion,Reiteration,Length,Duration_total,Ratio,Duration_Ratio_Category_4,Duration_Ratio_Category_10,nom,Number,Anger,Disgust,Fear,Joy,Neutral,Sadness,Surprise,Highest,Cat_Anger,Cat_Disgust,Cat_Fear,Cat_Joy,Cat_Neutral,Cat_Sadness,Cat_Surprise,Correct,Certainty,Response_Time
p1,M,27,maturite_professionelle,French,50,01col131,1,M,Anger,1,500,850,58.82352941,d3_75,d5_60,01col131_0-500,29,97,0,0,0,0,0,0,Anger,1,0,0,0,0,0,0,1,100,0.0000925926
p1,M,27,maturite_professionelle,French,50,01col131,1,M,Anger,1,100,850,11.76470588,d1_25,d1_20,01col131_0-100,70,0,0,76,0,0,0,27,Fear,0,0,1,0,0,0,0,0,75,0.0000694444
p1,M,27,maturite_professionelle,French,50,01col136,1,M,Anger,6,600,900,66.66666667,d3_75,d6_70,01col136_0-600,85,94,0,0,0,0,0,0,Anger,1,0,0,0,0,0,0,1,83,0.0000694444
p1,M,27,maturite_professionelle,French,50,01col136,1,M,Anger,6,400,900,44.44444444,d2_50,d4_50,01col136_0-400,100,66,0,0,0,0,0,0,Anger,1,0,0,0,0,0,0,1,76,0.0000578704
p1,M,27,maturite_professionelle,French,50,01int135,1,M,Neutral,5,100,950,10.52631579,d1_25,d1_20,01int135_0-100,26,0,0,0,97,0,0,0,Joy,0,0,0,1,0,0,0,0,65,0.0000578704
p1,M,27,maturite_professionelle,French,50,01joi131,1,M,Joy,1,100,900,11.11111111,d1_25,d1_20,01joi131_0-100,64,0,0,0,0,49,0,0,Neutral,0,0,0,0,1,0,0,0,27,0.0000925926
p1,M,27,maturite_professionelle,French,50,01joi131,1,M,Joy,1,850,900,94.44444444,d4_100,d9_100,01joi131_0-850,87,0,0,0,0,0,91,0,Sadness,0,0,0,0,0,1,0,0,93,0.0000694444
p1,M,27,maturite_professionelle,French,50,01peu134,1,M,Fear,4,50,750,6.666666667,d1_25,d0_10,01peu134_0-50,16,0,0,0,0,50,0,0,Neutral,0,0,0,0,1,0,0,0,11,0.0001273150
p1,M,27,maturite_professionelle,French,50,01peu136,1,M,Fear,6,100,1200,8.333333333,d1_25,d0_10,01peu136_0-100,28,0,0,100,0,0,0,0,Fear,0,0,1,0,0,0,0,1,96,0.0000462963
p1,M,27,maturite_professionelle,French,50,01peu136,1,M,Fear,6,450,1200,37.5,d2_50,d3_40,01peu136_0-450,80,0,0,100,0,0,0,0,Fear,0,0,1,0,0,0,0,1,100,0.0000347222
p1,M,27,maturite_professionelle,French,50,01peu136,1,M,Fear,6,1200,1200,100,d4_100,d9_100,01peu136_0-1200,81,0,0,95,0,0,26,0,Fear,0,0,1,0,0,0,0,1,94,0.0000925926
p1,M,27,maturite_professionelle,French,50,01tri134,1,M,Sadness,4,600,950,63.15789474,d3_75,d6_70,01tri134_0-600,3,0,0,0,0,50,0,0,Neutral,0,0,0,0,1,0,0,0,94,0.0001736110
p1,M,27,maturite_professionelle,French,50,01tri134,1,M,Sadness,4,50,950,5.263157895,d1_25,d0_10,01tri134_0-50,78,0,0,0,0,49,0,0,Neutral,0,0,0,0,1,0,0,0,8,0.0000462963
p1,M,27,maturite_professionelle,French,50,02col132,2,F,Anger,2,250,550,45.45454545,d2_50,d4_50,02col132_0-250,62,100,0,0,0,0,0,0,Anger,1,0,0,0,0,0,0,1,100,0.0000347222
p1,M,27,maturite_professionelle,French,50,02deg132,2,F,Disgust,2,2200,2550,86.2745098,d4_100,d8_90,02deg132_0-2200,14,0,75,0,0,0,0,0,Disgust,0,1,0,0,0,0,0,1,91,0.0001620370
p1,M,27,maturite_professionelle,French,50,02deg132,2,F,Disgust,2,550,2550,21.56862745,d1_25,d2_30,02deg132_0-550,44,0,60,0,0,0,0,0,Disgust,0,1,0,0,0,0,0,1,76,0.0000925926
p1,M,27,maturite_professionelle,French,50,02deg132,2,F,Disgust,2,850,2550,33.33333333,d2_50,d3_40,02deg132_0-850,76,0,96,0,0,0,0,0,Disgust,0,1,0,0,0,0,0,1,87,0.0000810185
p1,M,27,maturite_professionelle,French,50,02int132,2,F,Neutral,2,300,700,42.85714286,d2_50,d4_50,02int132_0-300,27,0,0,0,93,0,0,42,Joy,0,0,0,1,0,0,0,0,88,0.0001273150
p1,M,27,maturite_professionelle,French,50,02int132,2,F,Neutral,2,350,700,50,d2_50,d4_50,02int132_0-350,92,0,0,0,0,53,0,0,Neutral,0,0,0,0,1,0,0,1,51,0.0000578704
p1,M,27,maturite_professionelle,French,50,02joi131,2,F,Joy,1,1150,2350,48.93617021,d2_50,d4_50,02joi131_0-1150,5,0,0,100,0,0,30,0,Fear,0,0,1,0,0,0,0,0,100,0.0001157410
